,Q1,Q3,IQR,P90,Avg_Weekly_Supply,Median,Number of Partners ,DRY,FROZEN,PRODUCE,REFRIG,Monthly_Open_Hours,Average_monthly_served,Parent,Is_Disaster_Relief,Is_TEFAP,Is_CSFP,Is_Non_Church,info_web,C_pantry,C_Other,Partners_webpage,Is_multi_FB,Is_Other,isWeb,Is_Meal_Services,Is_White,Is_Multi,social_media,isEmail,Is_Pantries,Is_Black,Is_Hispanic,Is_Elderly_Services,Is_Children_Services,Is_Shelters_Group_Homes
33,-0.3577532824678044,0.5695572361168248,1.0986282896011366,0.38238161704651863,0.20661442442462744,-0.29980977164099626,-0.34716296198471047,-0.49770698423623116,-0.33531566244579786,0.07762661284357707,0.09816684408305633,-0.12932859376719869,-0.19791313840832306,R1075,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,1,1,0,1,0,0,0
34,-0.6069332306443651,-0.6969259577722509,-0.5578428349806909,-0.3186029746436914,-0.5547542121772009,-0.5276617529249066,-0.34716296198471047,-0.1453735281534095,0.12418024743439719,-0.2661513261412323,0.2505799336523361,-0.12932859376719869,-0.3139804888092404,R1076,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,1,1,1,0,0,0,0
35,-0.6342345575100232,-0.8341152690119747,-0.7370439029854183,-0.835539692241577,-0.8503882814210101,-0.7907976707881366,-0.34716296198471047,-0.6761637406036785,-0.6861631598667466,-0.7304607601407606,-0.6293248605654109,0.040847513900426256,-0.5990956118895403,R1078,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0,0,0,0,0
36,-0.6686932592566781,-0.9637889255480765,-0.8999135655365222,-1.0083451160974197,-0.9514630353195834,-0.8387889610187753,3.096010677371844,-0.8451280300574322,-0.8540195660612933,-1.17566433250934,-0.7648209753767029,-0.3563551718667051,-0.6234910373510059,R1079,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,1,0.0,1,1,0,0,0,0,0
37,-0.667807810817792,-0.978171675919983,-0.9215221258135957,-1.0153432983771886,-0.9443776895847574,-0.8495625159685105,3.722042248163945,-0.8339100733509998,-0.6805373192607107,-0.9801324320776524,-0.7602400225775258,0.7435907271807356,-0.18757043235693396,R1103,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,1,1.0,1,1,0,0,0,0,0
38,-0.2201398375909061,-0.3582255391998734,-0.3558666777379167,-0.46556480251884363,-0.38498744995351913,-0.28041410801785177,0.5918843942034409,0.07200922997914941,1.0810201926585767,0.5811152919425535,0.4293534344786368,-0.004983565226550444,-0.2516732897805412,R1107,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0,0,1,0,1,1.0,1,1,0,0,1,1,0
39,0.36979018481703063,-0.19532276973557378,-0.5627866958152912,-0.42305732496765336,-0.12917278041511132,0.1874193538903475,-0.03414717658866006,1.07796872831006,0.9954918839039769,1.928548084177079,0.812269696967813,-0.32580111911538734,-0.5554142307308946,R1109,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0.0,1,1,0,0,0,0,0
40,-0.33672388204425696,1.4081017217188538,2.303757693892855,1.191112836634742,0.5442581873423596,-0.48467635691333677,-0.34716296198471047,-0.4591355399838251,-0.3484081620315573,-0.27601156954313444,-0.42891793693540625,-0.3563551718667051,0.19128436158620188,R1114,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1.0,1,1,0,0,0,0,0
41,-0.3536949771229093,0.8397011496008309,1.488915550543857,0.7916456844448686,0.6670244183988286,0.5997526842393047,-0.34716296198471047,0.041295212193319164,-0.4386496210235382,0.3421471315890702,0.1919815715848259,-0.4251017905571702,-0.35376948738340785,R1117,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,1,0,1,0,0,0
42,-0.48562679451695445,-0.5568372061392513,-0.4451894667495726,-0.636107264777614,-0.6335590987910995,-0.5527608712441685,-0.34716296198471047,0.046925918539570316,-0.6906075362892858,-0.7529540493551863,-0.6467786756842926,-0.3563551718667051,-0.5750461362267947,R1121,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0,0,0,0,0
43,-0.42858915757870114,-0.2171830242796121,0.006423888141448765,-0.2834250130641582,-0.37102628936855236,-0.41753208010539095,-0.34716296198471047,-0.7317948671881407,-0.594050521430738,-0.6487769187729038,-0.7233878933627166,-0.4251017905571702,-0.4841806321974628,R1122,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,1,1,1,0,0,0,0
44,-0.6484017325322026,-0.9422338752559619,-0.8838043560754649,-0.9776524709753457,-0.8632873125681747,-0.8163712608203364,-0.34716296198471047,-0.42103078532813243,-0.6518135243753154,-0.9183104301965113,-0.6451552696022792,-0.12932859376719869,-0.5915300476706349,R1123,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0,0,0,0,0
45,-0.5992593441740179,-0.9097296224260829,-0.8734722424211316,-0.9448106927148858,-0.803173887594489,-0.7730593934466533,2.156963321183693,-0.6904524651559893,-0.5685407750133086,-1.0038572196394335,-0.5970426167217978,0.7741447799320534,-0.590549011581937,R1125,0,0,0,0,0.0,1.0,1.0,1.0,0.0,1,0,0,0,1,1.0,1,0,0,0,0,0,0
46,-0.6739321625200883,-0.978095374857002,-0.9168004609715616,-1.0138853437355702,-0.9641941168122748,-0.8476036877958314,2.156963321183693,-0.7573930048270826,-0.6113534266620155,-1.06406039376847,-0.7210723877700622,4.685063532100732,0.8849216608888393,R1127,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1,1.0,0,0,0,0,0,0,1
47,-0.5709249941296592,-0.9233875126996706,-0.9146895990421817,-0.97317061041037,-0.896802755398126,-0.7838329483963885,-0.34716296198471047,-0.6779363002656346,-0.8004385178797111,-0.6563633974456008,-0.7463101865147217,-0.4251017905571702,-0.6277497986662837,R1129,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,1,1,0,0,0,0,0
